kickX,kickY,kickAngle,goalZ,outcome,kickPleas,kickArou,goalPleas,goalArou
1.093851,0.121618,32.000000,0.003487,O,-0.740968,-0.326516,0.496977,0.989007
1.062668,0.085801,12.000000,0.250182,G,1.000000,0.419120,-0.830486,0.092343
1.054787,-0.044269,-32.000000,0.304596,O,-0.688216,-0.189361,0.804844,-0.108523
1.073495,0.106048,22.000000,-0.052877,O,-0.572096,0.112552,0.553539,0.805313
1.103540,0.124634,36.000000,-0.198476,O,-0.828706,-0.554636,0.697084,0.283330
1.094310,0.123190,34.000000,0.302196,O,-0.780322,-0.428836,0.197313,-0.100678
1.041718,0.003156,-18.000000,-0.250385,G,1.000000,0.418624,-0.831616,0.090035
1.048752,-0.046511,-34.000000,0.498086,O,-0.709068,-0.243576,0.991872,-0.788624
1.098547,0.122556,34.000000,-0.453666,O,-0.768982,-0.399354,0.953857,-0.650387
1.067373,0.090895,14.000000,0.447942,G,1.000000,0.401803,-1.000000,-0.626917
1.042055,0.040128,-6.000000,-0.298689,G,0.961730,0.816590,-0.480865,-0.081653
1.037867,0.012923,-14.000000,0.198438,G,0.662080,0.470626,-0.331040,0.278786
1.040534,0.020702,-12.000000,-0.045455,G,0.856809,0.617163,-0.428404,0.834301
1.105588,0.124600,36.000000,-0.352836,O,-0.813211,-0.514349,0.852452,-0.281644
1.097013,0.119217,34.000000,-0.401252,O,-0.768608,-0.398381,0.901317,-0.459333
1.048683,0.034067,-10.000000,0.454410,D,-0.300000,0.574148,1.000000,-0.654729
1.101840,0.122533,34.000000,0.504985,O,-0.769805,-0.401493,-0.004536,-0.834677
1.050841,-0.042900,-34.000000,0.195778,O,-0.694174,-0.204852,0.695677,0.288449
1.048593,0.066072,4.000000,0.354548,G,1.000000,0.815082,-0.539637,-0.289889
1.044352,0.039694,-8.000000,-0.504148,G,1.000000,0.817326,-0.685469,-0.828345
1.063644,0.091238,14.000000,0.204053,G,1.000000,0.448525,-0.755779,0.257078
1.048916,0.038696,-6.000000,0.347665,G,0.459744,0.882488,-0.229872,-0.263215
1.076810,0.103376,22.000000,-0.203234,O,-0.576263,0.101717,0.703339,0.260586
1.051029,0.040894,-6.000000,-0.054460,G,0.428334,0.840426,-0.214167,0.801479
1.059562,0.088990,14.000000,-0.252248,G,0.569636,0.463606,-0.284818,0.085178
1.061937,0.087736,14.000000,-0.303323,G,0.588376,0.401992,-0.294188,-0.104799
1.057848,0.078225,6.000000,0.002062,G,0.572143,0.717373,-0.286071,0.987476
1.054870,0.070753,2.000000,-0.399877,G,0.382624,0.791889,-0.191312,-0.452448
1.059309,0.082798,10.000000,-0.102995,G,0.607600,0.593856,-0.303800,0.627839
1.092019,0.122183,34.000000,0.048700,O,-0.603752,0.030245,0.451892,0.825061
1.042872,0.015835,-14.000000,-0.149413,G,1.000000,0.548683,-0.600911,0.456023
1.091772,0.123884,32.000000,0.454342,O,-0.728216,-0.293361,0.045367,-0.653212
1.065404,0.090704,16.000000,0.352052,G,1.000000,0.376437,-0.975115,-0.278370
1.061806,0.078950,8.000000,0.503736,G,1.000000,0.666247,-0.837736,-0.832667
1.040274,0.031026,-8.000000,0.101772,G,0.402011,0.697264,-0.201005,0.630070
1.049003,0.031495,-8.000000,-0.196269,G,0.850606,0.770476,-0.425303,0.288078
1.042503,0.038754,-6.000000,0.304372,G,0.243660,0.816891,-0.121830,-0.108870
1.048643,-0.035258,-32.000000,-0.299538,O,-0.676752,-0.159554,0.200543,-0.088933
1.043378,-0.032637,-30.000000,-0.252068,O,-0.674709,-0.154243,0.247220,0.080799
1.054543,0.063886,2.000000,0.254714,G,0.827656,0.840928,-0.413828,0.073616
1.071769,0.099366,22.000000,0.001362,L,-0.400000,0.359440,0.498211,0.993495
1.032047,0.118466,-2.000000,0.199483,G,0.357977,0.979682,-0.178989,0.275250
1.047449,0.011975,-14.000000,0.503664,D,-0.300000,0.378380,1.000000,-0.832567
1.048813,0.070364,2.000000,-0.246988,G,0.281272,0.893049,-0.140636,0.099684
1.045389,0.026292,-12.000000,0.395811,D,-0.300000,0.616636,1.000000,-0.437136
1.046686,-0.038794,-32.000000,-0.001091,O,-0.664720,-0.128271,0.499074,0.996634
1.087996,0.112895,30.000000,0.448411,O,-0.702231,-0.225801,0.051515,-0.630856
1.069712,0.089285,16.000000,-0.351502,D,-0.300000,0.384874,1.000000,-0.277835
1.045095,0.038259,-6.000000,0.445121,G,0.560799,0.835365,-0.280400,-0.618308
1.071421,0.104619,20.000000,0.454981,L,-0.400000,0.232027,0.045088,-0.654224
1.071698,0.099187,22.000000,0.448930,O,-0.570590,0.116466,0.050417,-0.634848
1.045538,-0.034855,-30.000000,0.348873,O,-0.610134,0.013651,0.848519,-0.267341
1.052415,-0.042299,-32.000000,-0.303982,O,-0.673623,-0.151420,0.196051,-0.105270
1.060805,0.088969,14.000000,0.145562,G,1.000000,0.468203,-0.677059,0.471774
1.044499,-0.028073,-28.000000,0.451566,O,-0.583452,0.083024,0.950711,-0.638949
1.051991,0.054373,-2.000000,-0.247266,G,0.524282,0.985013,-0.262141,0.101260
1.046340,-0.000315,-18.000000,0.498603,D,-0.300000,0.433503,1.000000,-0.815622
1.047635,0.013337,-14.000000,-0.252947,G,1.000000,0.536767,-0.716651,0.078480
1.044288,0.039868,-6.000000,0.399698,G,0.479675,0.840861,-0.239837,-0.450824
1.052310,-0.034491,-30.000000,0.145456,O,-0.626495,-0.028887,0.646114,0.468676
1.062793,0.080521,12.000000,-0.051374,G,0.879347,0.509385,-0.439674,0.814757
1.108128,0.128923,36.000000,-0.300456,O,-0.788446,-0.449959,0.800324,-0.092087
1.097237,0.124647,32.000000,-0.154361,O,-0.736599,-0.315157,0.654245,0.439110
1.001315,0.029837,-26.000000,-0.152622,O,-0.562040,0.138696,0.347355,0.444926
1.064588,0.089140,16.000000,-0.153868,L,-0.400000,0.383065,0.654286,0.438960
1.079865,0.114992,28.000000,-0.154918,O,-0.648628,-0.086432,0.654683,0.437516
1.053792,0.077975,8.000000,-0.447468,G,0.278778,0.691231,-0.139389,-0.629665
1.041246,0.056557,-2.000000,-0.454185,G,1.000000,0.878918,-0.575341,-0.651852
1.082925,0.107579,26.000000,0.201704,O,-0.639703,-0.063227,0.297981,0.265384
1.061217,0.079764,12.000000,0.350911,G,1.000000,0.483621,-0.866429,-0.272909
1.049147,0.027958,-12.000000,-0.102368,G,0.918185,0.643690,-0.459093,0.626245
1.032593,0.128150,2.000000,0.353294,G,0.904001,0.901538,-0.452000,-0.285594
1.051465,-0.016545,-24.000000,-0.146044,R,-0.400000,0.246192,0.354290,0.470146
1.048145,0.000747,-18.000000,0.249157,R,-0.400000,0.331878,0.748478,0.096443
1.069968,0.161799,18.000000,-0.447702,L,-0.400000,0.334819,0.946902,-0.625097
1.023369,0.107317,-6.000000,-0.150566,G,0.645671,0.827487,-0.322835,0.453374
1.075837,0.107409,22.000000,-0.498965,O,-0.553314,0.161383,0.999358,-0.815848
1.096584,0.115279,32.000000,0.154395,O,-0.729402,-0.296446,0.345732,0.439026
1.047730,0.037369,-8.000000,-0.098807,G,0.698480,0.749605,-0.349240,0.640564
1.101104,0.121539,36.000000,0.047598,O,-0.804695,-0.492207,0.452160,0.826037
1.053110,-0.047521,-34.000000,0.203711,O,-0.711052,-0.248734,0.703961,0.258323
1.049484,0.044819,-4.000000,-0.451457,G,1.000000,0.909155,-0.542423,-0.642101
1.093207,0.120684,32.000000,0.101071,O,-0.739021,-0.321453,0.399029,0.632832
1.082927,0.110037,28.000000,-0.354304,O,-0.627556,-0.031646,0.853921,-0.286987
1.052071,-0.045812,-36.000000,0.300290,O,-0.751576,-0.354098,0.800082,-0.091206
1.047949,0.055128,-2.000000,-0.246192,G,0.444698,0.975400,-0.222349,0.102002
1.053979,-0.043156,-34.000000,0.396558,O,-0.697230,-0.212799,0.896357,-0.441298
1.062758,0.092706,14.000000,0.048617,G,1.000000,0.462891,-0.585829,0.822838
1.079657,0.113466,26.000000,0.145023,O,-0.636016,-0.053643,0.354592,0.471244
1.054071,0.074860,6.000000,-0.295750,D,-0.300000,0.734652,1.000000,-0.075409
1.050729,0.069986,2.000000,-0.297035,G,0.612745,0.990492,-0.306372,-0.079508
1.065959,0.099017,18.000000,0.100934,L,-0.400000,0.364114,0.398463,0.630774
1.131575,0.184433,36.000000,0.346022,O,-0.797087,-0.472426,0.153899,-0.258549
1.050535,0.048023,-4.000000,0.454123,G,0.761160,0.926186,-0.380580,-0.652341
1.053621,0.075198,8.000000,0.249075,G,1.000000,0.660304,-0.588627,0.094797
1.083080,0.115842,28.000000,0.149620,O,-0.664541,-0.127807,0.349939,0.454325
1.057990,0.077848,10.000000,0.154114,G,0.848884,0.730576,-0.424442,0.436300
1.043166,-0.023531,-26.000000,0.397195,O,-0.568225,0.122615,0.897106,-0.444020
