@relation outTestNew

@attribute kickX numeric
@attribute kickZ numeric
@attribute kickAngle numeric
@attribute goalZ numeric
@attribute Outcome {O,L,G,R,D}
@attribute KickPleas numeric
@attribute KickArou numeric
@attribute GoalPleas numeric
@attribute GoalArou numeric

@data
1.057196,0.150412,10,0.344214,G,1,0.558812,-0.785242,-0.251104
1.05686,0.075613,6,0.09615,G,0.698672,0.745976,-0.349336,0.65341
1.103273,0.127733,36,-0.50386,O,-0.715153,-0.259398,1.003786,-0.831951
1.054984,0.073561,4,0.298833,G,0.96986,0.814,-0.48493,-0.087019
1.041604,-0.000637,-18,-0.151704,G,1,0.377737,-0.773767,0.449079
1.083547,0.105686,26,-0.502847,O,-0.629856,-0.037626,1.000081,-0.818475
1.04066,0.012449,-16,-0.10132,G,1,0.462106,-0.638491,0.634191
1.049738,-0.005197,-20,0.399767,D,-0.3,0.371061,1,-0.456294
1.028932,0.123011,-2,0.001157,D,-0.3,0.996853,1,0.997816
1.044149,0.054869,-2,0.048073,D,-0.3,0.991442,1,0.826868
1.043248,0.011554,-14,0.453519,D,-0.3,0.597373,1,-0.650394
1.065138,0.081792,12,-0.198416,G,0.606261,0.498011,-0.303131,0.27688
1.04817,-0.009657,-22,0.247692,R,-0.4,0.348458,0.747886,0.098596
1.098125,0.174374,26,0.202538,O,-0.633887,-0.048106,0.29824,0.266326
1.046107,0.047508,-6,-0.301558,G,0.906128,0.848502,-0.453064,-0.096602
1.084178,0.115346,28,0.396325,O,-0.62301,-0.019827,0.104201,-0.439269
1.054843,0.059653,0,0.145056,G,0.327796,0.981047,-0.163898,0.472928
1.04806,0.034435,-8,0.501894,G,0.487707,0.741495,-0.243853,-0.826758
1.048677,-0.030606,-28,-0.397942,O,-0.601387,0.036393,0.101919,-0.447567
1.043975,0.036627,-8,-0.451094,G,1,0.818377,-0.632318,-0.63889
1.049553,0.028769,-10,0.09607,G,0.582745,0.612055,-0.291372,0.648826
1.050523,0.070655,4,-0.295401,G,0.234337,0.82166,-0.117168,-0.074575
